ROI,PnL,Win_Rate,Total_Trades,Sharpe_Ratio,ROI_norm,PnL_norm,Win_Rate_norm,Sharpe_Ratio_norm,Score,Rank
6.0664556267159296e-05,566.59765978,44.303797468354425,474.0,0.18372452242866846,4.5070017643687205e-05,0.15309973898201193,0.5519948726165678,0.34842048951334215,0.2633900427823914,68.0
5.288870452238546e-06,2923.97719988,80.2612481857765,689.0,0.06012342941992801,4.3554207915183575e-05,0.18104881122934272,1.0,0.18406413908466776,0.3412891261304814,25.0
0.04201746331665214,243.66889897,42.857142857142854,14.0,0.42403368773117894,0.0011935618656800757,0.1492710982760538,0.5339705502454145,0.6679673189324692,0.3381006323299044,26.0
0.0007161950640528401,2521.81430468,30.231404958677686,6050.0,0.10402801949834525,6.30139854051614e-05,0.1762807712841654,0.3766625319444652,0.2424454852095387,0.19886295060589362,115.0
7.330495687572697e-06,205.02139999,45.1219512195122,82.0,0.21428998567854968,4.3610093731280215e-05,0.14881289384914814,0.5621885061526927,0.3890643694874213,0.2750273448957483,60.0
0.0015752949339303286,13960.966456670001,44.607363962202676,3069.0,0.15257600630246182,8.65302980494668e-05,0.31190326418601505,0.5557771025308796,0.30700130536899145,0.2936920505959839,44.0
7.725751035043567e-05,6419.607907139999,33.919774806474315,1421.0,0.15394068416019208,4.5524219896063957e-05,0.22249297986035288,0.4226170857443183,0.3088159614270209,0.23849288781289701,90.0
1.0669601629706229e-05,980.06319996,38.23529411764706,68.0,0.2145739353470927,4.3701495746390364e-05,0.15800178299219378,0.4763854909052228,0.3894419464981996,0.2559682304728406,76.0
0.0028019605630007303,532.65697373,58.333333333333336,108.0,0.6737326022393789,0.00012010806177018155,0.15269733849011013,0.7267932489451476,1.0,0.469902673874257,2.0
-1.039118794491097e-05,-280.97295039,24.397590361445783,996.0,-0.014038869102379703,4.3124994539093884e-05,0.14305094886765016,0.30397721083247997,0.08544814445372693,0.13312985728709903,146.0
0.07919899466585002,1406.06618669,51.13378684807256,882.0,0.2420468607215792,0.0022113393633375585,0.163052470864538,0.6370918469859311,0.4259735793522117,0.3070823091415046,36.0
0.00013936609402903904,3921.2330411600005,50.337958022056206,2811.0,0.15494756972717874,4.722433058504512e-05,0.19287226820047812,0.6271763666762518,0.3101548495635322,0.2825626771927118,54.0
0.000152595456495829,4268.00656095,33.142201834862384,872.0,0.13067260344385495,4.7586460571048064e-05,0.19698361217085159,0.41292906083580794,0.27787564581228313,0.22195897631987843,98.0
-3.6832869004227756e-06,-176.82699999000002,33.793103448275865,145.0,-0.038944508443487194,4.3308611256637726e-05,0.14428570239056954,0.42103884766477523,0.05233031444466887,0.15442454327781757,143.0
3.610894846075512e-05,7195.178324640001,74.5396317053643,1249.0,0.22132871844103924,4.4397852077617816e-05,0.23168813628844362,0.928712590325425,0.39842399892373803,0.3897172808474211,10.0
0.0052859894130965895,2417.51403674,47.81818181818182,6050.0,0.0857108724451063,0.00018810388053879442,0.1750441881737735,0.5957816866677625,0.21808858539051518,0.24727564102814753,84.0
6.798005741097196,2856.30056379,64.75972540045767,437.0,0.4318153572803059,0.1861265808687047,0.18024643759397319,0.806861678135901,0.6783148553191095,0.4628873879794221,5.0
0.03834842754837453,18015.997370259996,61.39714769156394,4137.0,0.222217840982549,0.0010931286154198241,0.35997967701696665,0.7649662705151455,0.3996062937760665,0.38141134248089964,13.0
2.12260618804658e-05,1803.3020100100002,22.666666666666664,75.0,0.10825117142505919,4.399045984518536e-05,0.16776209548642967,0.2824110910186859,0.24806114621288797,0.1745695807944622,133.0
0.00010367492679692752,6761.648048249999,42.8125,640.0,0.33072552868091,4.624734912258696e-05,0.2265482049324111,0.5334143309222422,0.5438924575100381,0.3259753101784535,31.0
0.00010674956200691074,605.72231024,46.875,64.0,0.17267309801983938,4.633151172742529e-05,0.15356360051290133,0.5840302893309222,0.3337250548803727,0.2678413190589809,63.0
4.288493882798596e-06,343.47044905000075,41.40786749482402,483.0,0.010822476272934067,4.352682440717264e-05,0.15045434462486332,0.5159135751163426,0.11850707535124272,0.19622963047921396,120.0
4.5945420311952965e-06,1456.3718076200003,48.06629834254144,1267.0,0.011391635278551328,4.353520192437902e-05,0.163648893888452,0.5988730480652992,0.11926390439457693,0.22045734538756312,99.0
6.845409569492223e-06,772.7290318900001,28.51469420174742,1259.0,0.07120170038296553,4.359681537190412e-05,0.1555436308176471,0.35527349556969207,0.19879527244459722,0.17741399891182708,132.0
2.70650009427846e-05,6789.436738630001,33.33333333333333,1458.0,0.2742831258440933,4.415029029251172e-05,0.22687766741474708,0.4153104279686557,0.4688391783369466,0.27776785600266046,57.0
6.741570539611521e-06,1309.4599595900002,34.10041841004184,478.0,0.05007636952641223,4.359397296536097e-05,0.16190710823843943,0.42486778091354116,0.17070424026468087,0.1893806808474067,125.0
6.426712961232311e-06,1947.24457347,48.61111111111111,288.0,0.06302152056005664,4.35853543058649e-05,0.16946867732324278,0.605661040787623,0.18791782412422914,0.24077278189735019,88.0
0.0006798063797304075,10374.96528998,40.16528925619834,6050.0,0.05050006487464799,6.20179106678165e-05,0.26938766413860826,0.5004319041142976,0.17126764160227834,0.23528730694146302,92.0
7.186687179599851e-06,3860.3097053499996,30.050212437234453,2589.0,0.08276328819987155,4.360615723221535e-05,0.1921499616371362,0.3744049976357059,0.21416908777657753,0.19519191330166297,121.0
1.0574493433702405e-05,2301.9641228599994,35.10204081632653,1715.0,0.06278261248987856,4.3698892330709975e-05,0.17367422935455512,0.4373473078200538,0.18760014037607933,0.19966634411075473,113.0
